[2022-05-30 16:30:27] [class-ss-plugin.php:268] Received request to start generating a static archive
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-602.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-602.jpg
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-604-2-1.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-604-2-1.jpg
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2022\05\content-1.xml to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2022\05\content-1.xml
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2022\05\content.xml to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2022\05\content.xml
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\elementor\css\post-401.css to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\elementor\css\post-401.css
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\elementor\css\post-5.css to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\elementor\css\post-5.css
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\wc-logs\.htaccess to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\wc-logs\.htaccess
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\wc-logs\fatal-errors-2022-05-30-80834c824ab58c2c285132b5a6500b27.log to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\wc-logs\fatal-errors-2022-05-30-80834c824ab58c2c285132b5a6500b27.log
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\wc-logs\index.html to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\wc-logs\index.html
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\woocommerce-placeholder.png to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\woocommerce-placeholder.png
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\woocommerce_uploads\.htaccess to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\woocommerce_uploads\.htaccess
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\woocommerce_uploads\index.html to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\woocommerce_uploads\index.html
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\wpforms\.htaccess to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\wpforms\.htaccess
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\wpforms\cache\addons.json to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\wpforms\cache\addons.json
